Facility,Item Type Name,Item SkuCode,EAN,UPC,ISBN,Color,Size,Brand,Category Name,MRP,Open Sale,Inventory,Inventory Blocked,Bad Inventory,Putaway Pending,Pending Inventory Assessment,Return Awaited,Open Purchase,Enabled,Updated,Virtual Inventory
VENDORSKART MUNDKA 1 FACILITY,Autofy High Performance Universal Air Filter Red colour for All Bikes,VKAMFILTER0001,1,SDL260195900,Autofy - India,Red,India,Autofy,Vendorskart_Automotive,699.00,0,8,0,0,0,0,0,0,true,2017-03-28 04:17:04,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Black Spine shaped Universal Petrol Tank Sticker Graphics for All Bikes,VKAMSTICKER0003,1,SDL313210402,Autofy-India,Dummy Red,India,Autofy,Vendorskart_Automotive,399.00,84,0,0,0,0,0,0,0,true,2017-03-28 04:17:04,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Black Orange Pre-Curved Armour KTM Biking Gloves Large (L) Size (Set of 2),VKAMGLOVES0002_L,Set of 2,SDL321185320,China,Dummy Red,China,Autofy,Vendorskart_Automotive,799.00,0,0,0,0,0,0,0,0,true,2017-03-28 03:35:27,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Black Orange Pre-Curved Armour KTM Biking Gloves Extra Large (XL) Size (Set of 2),VKAMGLOVES0002_XL,Set of 2,SDL322364420,China,Dummy Red,China,Autofy,Vendorskart_Automotive,799.00,4,0,0,0,0,0,0,0,true,2017-03-28 03:35:27,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Side Bag Black Plastic Clip for All Bikes,VKAMBAG0005,1,SDL357251506,Autofy - India,Dummy Red,India,Autofy,Vendorskart_Automotive,799.00,0,0,0,0,0,0,0,0,true,2017-03-28 03:35:27,0
VENDORSKART MUNDKA 1 FACILITY,Autofy M6 LED Universal Headlight for All Bikes,VKAMLIGHT0025,1,SDL361928660,LED Company China,white,China,Autofy,Vendorskart_Automotive,1599.00,0,147,0,0,0,0,0,0,true,2017-03-28 03:35:28,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Side Bag Black Yellow Printed Plastic Clip for All Bikes,VKAMBAG0009,1,SDL386885035,Autofy - India,Dummy Red,India,Autofy,Vendorskart_Automotive,799.00,0,0,0,0,0,0,0,0,true,2017-03-28 03:35:28,0
VENDORSKART MUNDKA 1 FACILITY,"Autofy LED Universal Strobe Lights for All Bikes (Set of 2, Silver)",VKAMLIGHT0035_Red-Red,Set of 2,,Autofy India,Silver,India,Autofy India,Vendorskart_Automotive,999.00,0,0,0,1,0,0,0,0,true,2017-03-28 04:17:04,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Chrome colour Skull Shape Blue LED Universal Side Indicator set for All Bikes (Set of 2),VKAMLIGHT0016,Set of 2,SDL458734239,LED Company China,Chrome,China,Autofy,Vendorskart_Automotive,1299.00,0,56,0,0,0,0,0,0,true,2017-03-28 04:17:04,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Side Bag Red Printed Magnetic Clip for All Bikes,VKAMBAG0011,1,SDL459056989,Autofy - India,Dummy Red,India,Autofy,Vendorskart_Automotive,799.00,0,0,0,0,0,0,0,0,true,2017-03-28 03:35:29,0
